onset	duration	sample	value	gid	imageid	buttonpressduration	reactiontime	imagecategory	cameradistance	imagelocation	imageclutter	luminance	tgtorientation	tgtocclusion	tgtcontrast	tgtsize	tgtdistfromcenter	numberoftargets	numberofclasses
318.2255859375	n/a	325864	13210	1337	20414	0.0	0.0	6	2	1	2	72.460275	0	0	0	0.0	0.0	0	0
318.4091796875	n/a	326052	13210	1227	20296	0.0	0.0	6	1	2	2	129.769094	0	0	0	0.0	0.0	0	0
318.5927734375	n/a	326240	13210	1004	20004	0.0	0.0	6	2	1	1	149.717073	0	0	0	0.0	218.044407	0	0
318.7763671875	n/a	326428	13210	1965	21126	0.0	0.0	6	2	1	2	118.803946	0	0	0	0.0	0.0	0	0
318.9599609375	n/a	326616	13210	1083	20120	0.0	0.0	6	1	1	2	51.826083	0	0	0	0.0	0.0	0	0
319.1435546875	n/a	326804	13110	8374	11102	0.0	0.0	5	2	1	2	140.420722	0	1	1	0.318896	64.195015	2	1
319.3271484375	n/a	326992	13210	1494	20597	0.0	0.0	6	3	2	3	146.688976	0	0	0	0.0	0.0	0	0
319.5107421875	n/a	327180	13120	8003	10007	0.0	0.0	2	4	1	3	115.05174	90	4	2	0.001599	75.133215	2	2
319.6015625	n/a	327273	21131	8374	11102	0.0	0.4580078125	0	0	0	0	0.0	0	0	0	0.0	0.0	0	0
319.6953125	n/a	327369	13210	2174	21355	0.0	0.0	6	3	1	3	134.189775	0	0	0	0.0	0.0	0	0
319.87890625	n/a	327557	13210	2016	21190	0.0	0.0	6	2	1	3	111.303481	0	0	0	0.0	0.0	0	0
319.89453125	n/a	327573	21132	0	0	0.29296875	0.0	0	0	0	0	0.0	0	0	0	0.0	0.0	0	0
320.0625	n/a	327745	13210	1847	20985	0.0	0.0	6	1	1	3	105.13975	0	0	0	0.0	0.0	0	0
320.24609375	n/a	327933	13210	1257	20327	0.0	0.0	6	3	1	3	122.068536	0	0	0	0.0	0.0	0	0
320.4296875	n/a	328121	13210	1898	21048	0.0	0.0	6	1	2	3	77.378826	0	0	0	0.0	0.0	0	0
320.61328125	n/a	328309	13220	2474	21681	0.0	0.0	6	1	1	1	119.461811	0	0	0	0.0	0.0	0	0
320.796875	n/a	328497	13210	2164	21345	0.0	0.0	6	1	1	1	184.527586	0	0	0	0.0	0.0	0	0
321.3779296875	n/a	329092	21121	2474	21681	0.0	0.0	0	0	0	0	0.0	0	0	0	0.0	0.0	0	0
321.6181640625	n/a	329338	21122	0	0	0.240234375	0.0	0	0	0	0	0.0	0	0	0	0.0	0.0	0	0
322.0322265625	n/a	329762	13210	1671	20795	0.0	0.0	6	3	1	2	127.082809	0	0	0	0.0	0.0	0	0
322.2158203125	n/a	329950	13210	1644	20767	0.0	0.0	6	2	1	2	165.613027	0	0	0	0.0	0.0	0	0
322.400390625	n/a	330139	13210	2107	21288	0.0	0.0	6	1	1	2	116.110963	0	0	0	0.0	0.0	0	0
322.583984375	n/a	330327	13210	1237	20306	0.0	0.0	6	5	2	2	189.073385	0	0	0	0.0	0.0	0	0
322.767578125	n/a	330515	13210	1790	20925	0.0	0.0	6	2	1	2	157.622887	0	0	0	0.0	0.0	0	0
322.951171875	n/a	330703	13210	2212	21393	0.0	0.0	6	3	1	2	76.321892	0	0	0	0.0	0.0	0	0
