onset	duration	code	trial_number
183.5247	0.2	212	26
183.7247	1.05	222	26
184.7747	0.5	40	27
185.2747	0.25	30	27
185.5247	0.3583	11	27
185.876	0.0	1	27
185.883	0.5	40	28
186.383	0.25	30	28
186.633	0.3	11	28
186.9259	0.0	1	28
186.9331	0.5	40	29
187.4331	0.25	30	29
187.6831	0.425	12	29
188.0979	0.0	2	29
188.1081	0.5	40	30
188.6081	0.25	30	30
188.8581	0.3167	12	30
189.1629	0.0	2	30
189.1747	0.5	40	31
189.6748	0.25	30	31
189.9248	0.475	11	31
190.3939	0.0	1	31
190.3998	0.5	40	32
190.8998	0.25	30	32
191.1498	0.25	211	32
191.3998	0.075	221	32
191.4668	0.0	1	32
191.4748	0.5	40	33
191.9748	0.25	30	33
192.2248	0.3167	12	33
192.5328	0.0	2	33
192.5415	0.5	40	34
193.0415	0.25	30	34
193.2915	0.35	11	34
193.6368	0.0	1	34
193.6415	0.5	40	35
194.1415	0.25	30	35
194.3915	0.4833	11	35
194.8698	0.0	1	35
194.8748	0.5	40	36
195.3748	0.25	30	36
195.6248	0.2	212	36
195.8248	1.05	222	36
196.8748	0.5	40	37
197.3748	0.25	30	37
197.6249	0.25	211	37
197.8749	0.1	221	37
197.9637	0.0	1	37
197.9749	0.5	40	38
198.4749	0.25	30	38
198.7249	0.325	12	38
199.0387	0.0	2	38
199.0499	0.5	40	39
199.5499	0.25	30	39
199.7999	0.5083	12	39
200.2997	0.0	2	39
200.3082	0.5	40	40
200.8082	0.25	30	40
201.0582	0.3583	11	40
201.4067	0.0	1	40
201.4166	0.5	40	41
201.9166	0.25	30	41
202.1666	0.475	11	41
202.6376	0.0	1	41
202.6416	0.5	40	42
203.1416	0.25	30	42
203.3916	0.2	211	42
203.5916	1.05	221	42
204.6416	0.5	40	43
205.1416	0.25	30	43
205.3916	0.3667	11	43
205.7536	0.0	1	43
205.7583	0.5	40	44
206.2583	0.25	30	44
206.5083	0.2833	11	44
206.7835	0.0	1	44
206.7916	0.5	40	45
207.2916	0.25	30	45
207.5416	0.3833	12	45
207.9155	0.0	2	45
207.925	0.5	40	46
208.425	0.25	30	46
208.675	0.3	12	46
208.9695	0.0	2	46
208.975	0.5	40	47
209.475	0.25	30	47
209.725	0.475	12	47
210.1905	0.0	2	47
210.2	0.5	40	48
210.7	0.25	30	48
210.95	0.25	212	48
211.2	0.0833	222	48
211.2765	0.0	2	48
211.2834	0.5	40	49
211.7834	0.25	30	49
212.0334	0.3417	12	49
212.3665	0.0	2	49
212.375	0.5	40	50
212.875	0.25	30	50
213.125	0.5583	11	50
213.6764	0.0	1	50
213.6834	0.5	40	51
214.1834	0.25	30	51
214.4334	0.4167	11	51
214.8444	0.0	1	51
214.8501	0.5	40	52
215.3501	0.25	30	52
215.6001	0.2	211	52
215.8001	1.05	221	52
216.8501	0.5	40	53
217.3501	0.25	30	53
217.6001	0.3667	11	53
217.9564	0.0	1	53
217.9668	0.5	40	54
218.4668	0.25	30	54
218.7168	0.25	212	54
218.9668	1.0	222	54
219.9668	0.5	40	55
220.4668	0.25	30	55
220.7168	0.3167	12	55
221.0223	0.0	2	55
221.0335	0.5	40	56
221.5335	0.25	30	56
221.7835	0.3417	12	56
222.1133	0.0	2	56
222.1252	0.5	40	57
222.6252	0.25	30	57
222.8752	0.3	211	57
223.1752	0.1167	221	57
223.2823	0.0	1	57
223.2918	0.5	40	58
223.7918	0.25	30	58
224.0418	0.4417	11	58
224.4723	0.0	1	58
224.4835	0.5	40	59
224.9835	0.25	30	59
225.2335	0.4667	12	59
225.6893	0.0	2	59
225.7002	0.5	40	60
226.2002	0.25	30	60
226.4502	0.525	12	60
226.9712	0.0	2	60
226.9752	0.5	40	61
227.4752	0.25	30	61
227.7252	0.35	12	61
228.0652	0.0	2	61
228.0752	0.5	40	62
228.5752	0.25	30	62
228.8252	0.5667	11	62
229.3812	0.0	1	62
229.3919	0.5	40	63
229.8919	0.25	30	63
230.1419	0.4167	11	63
230.5512	0.0	1	63
230.5586	0.5	40	64
231.0586	0.25	30	64
231.3086	0.25	212	64
231.5586	1.0	222	64
232.5586	0.0167	70	0
232.5586	0.0	experiment_block_end	0
249.9638	0.0	3	0
249.9755	0.0	rest_block_start	0
249.9755	2.0084	80	0
251.9839	2.0084	80	0
253.9922	2.0084	80	0
256.0006	2.0084	80	0
258.0089	2.0084	80	0
260.0173	2.0084	80	0
262.0257	2.0084	80	0
264.034	2.0084	80	0
267.5507	0.0	rest_block_end	0
267.5507	0.0	experiment_block_start	0
267.5507	0.5	40	1
268.0507	0.25	30	1
268.3007	0.45	12	1
268.7405	0.0	2	1
268.7507	0.5	40	2
269.2507	0.25	30	2
269.5008	0.2917	11	2
269.7814	0.0	1	2
269.7924	0.5	40	3
270.2924	0.25	30	3
270.5424	0.4167	11	3
270.9494	0.0	1	3
270.9591	0.5	40	4
271.4591	0.25	30	4
271.7091	0.3	211	4
272.0091	0.95	221	4
272.9591	0.5	40	5
273.4591	0.25	30	5
273.7091	0.325	12	5
274.0244	0.0	2	5
274.0341	0.5	40	6
274.5341	0.25	30	6
274.7841	0.275	12	6
275.0514	0.0	2	6
275.0592	0.5	40	7
275.5592	0.25	30	7
275.8092	0.35	212	7
276.1592	0.125	222	7
276.2723	0.0	2	7
276.2842	0.5	40	8
276.7842	0.25	30	8
277.0342	0.3917	11	8
277.4163	0.0	1	8
277.4258	0.5	40	9
277.9259	0.25	30	9
278.1759	0.3167	11	9
278.4843	0.0	1	9
278.4925	0.5	40	10
278.9925	0.25	30	10
279.2425	0.3	211	10
279.5425	0.0583	221	10
279.5923	0.0	1	10
279.6009	0.5	40	11
280.1009	0.25	30	11
280.3509	0.4417	11	11
280.7883	0.0	1	11
280.7926	0.5	40	12
281.2926	0.25	30	12
281.5426	0.5583	12	12
282.0923	0.0	2	12
282.1009	0.5	40	13
282.6009	0.25	30	13
282.8509	0.425	12	13
283.2712	0.0	2	13
283.2759	0.5	40	14
283.7759	0.25	30	14
284.0259	0.4833	12	14
284.4982	0.0	1	14
284.5093	0.5	40	15
285.0093	0.25	30	15
285.2593	0.3333	11	15
285.5852	0.0	1	15
285.5926	0.5	40	16
286.0926	0.25	30	16
286.3426	0.25	212	16
286.5926	1.0	222	16
287.5926	0.5	40	17
288.0926	0.25	30	17
288.3427	0.4167	12	17
288.7551	0.0	2	17
288.7593	0.5	40	18
289.2593	0.25	30	18
289.5093	0.3083	12	18
289.8061	0.0	2	18
289.8177	0.5	40	19
290.3177	0.25	30	19
290.5677	0.4917	11	19
291.0531	0.0	1	19
291.0593	0.5	40	20
291.5594	0.25	30	20
291.8094	0.3	211	20
292.1094	0.05	221	20
292.152	0.0	1	20
292.1594	0.5	40	21
292.6594	0.25	30	21
292.9094	0.4167	11	21
293.317	0.0	1	21
293.326	0.5	40	22
293.826	0.25	30	22
294.0761	0.375	11	22
294.442	0.0	1	22
294.4511	0.5	40	23
294.9511	0.25	30	23
295.2011	0.5	12	23
295.695	0.0	2	23
295.7011	0.5	40	24
296.2011	0.25	30	24
296.4511	0.25	212	24
296.7011	1.0	222	24
297.7011	0.5	40	25
298.2011	0.25	30	25
298.4511	0.3417	11	25
