onset	duration	trial_type	stop_signal_delay	response_time	response_accuracy	response_hand	sex
302.1933	0.5083	go	n/a	1.496	correct	right	female
306.2015	0.5083	succesful_stop	1.25	n/a	n/a	right	female
309.7097	0.5083	unsuccesful_stop	1.3	1.415	correct	right	female
312.7263	0.5083	unsuccesful_stop	1.35	1.531	correct	right	female
318.2262	0.5083	unsuccesful_stop	1.4	1.5	correct	right	female
326.2426	0.5083	go	n/a	1.711	correct	left	male
329.7509	0.5083	go	n/a	1.533	correct	right	female
332.7675	0.5083	go	n/a	1.928	correct	right	female
337.7673	0.5083	unsuccesful_stop	1.45	1.299	correct	left	male
340.7839	0.5083	go	n/a	1.877	correct	left	male
345.7838	0.5083	succesful_stop	1.5	n/a	n/a	right	male
349.792	0.5083	succesful_stop	1.55	n/a	n/a	right	male
353.3003	0.5083	go	n/a	2.018	correct	right	female
357.3085	0.5083	go	n/a	1.834	correct	left	male
362.3167	0.5083	succesful_stop	1.6	n/a	n/a	right	male
365.8249	0.5083	unsuccesful_stop	1.65	1.738	correct	left	male
370.3331	0.5084	go	n/a	2.072	correct	left	male
373.8414	0.5083	go	n/a	1.903	correct	right	female
378.3496	0.5083	succesful_stop	1.7	n/a	n/a	right	female
381.3579	0.5083	go	n/a	1.785	correct	left	male
384.8744	0.5083	go	n/a	1.912	correct	right	female
389.3743	0.5083	go	n/a	1.75	correct	right	female
394.3825	0.5083	succesful_stop	1.75	n/a	n/a	right	male
397.8908	0.5083	go	n/a	1.786	correct	left	male
402.399	0.5083	go	n/a	2.256	correct	right	female
405.4072	0.5083	go	n/a	2.279	correct	left	male
409.9154	0.5084	go	n/a	2.269	correct	left	male
414.4237	0.5083	go	n/a	1.994	incorrect	left	female
421.9401	0.5084	go	n/a	2.318	correct	left	male
426.4483	0.5084	go	n/a	n/a	miss	right	male
432.4649	0.5083	unsuccesful_stop	1.8	1.343	correct	left	male
435.9731	0.5083	unsuccesful_stop	1.85	1.714	correct	right	female
438.9897	0.5083	go	n/a	2.261	correct	right	female
