onset	duration	sample	value
271.04296875	n/a	277549	1122
274.00390625	n/a	280581	4210
275.01953125	n/a	281621	1311
275.1513671875	n/a	281756	1312
275.9794921875	n/a	282604	4312
277.59375	n/a	284257	1111
278.4833984375	n/a	285168	4220
278.615234375	n/a	285303	4311
278.681640625	n/a	285371	1112
280.7998046875	n/a	287540	1311
280.923828125	n/a	287667	1312
280.9638671875	n/a	287708	4210
281.802734375	n/a	288567	4230
283.3828125	n/a	290185	4210
284.484375	n/a	291313	4312
285.185546875	n/a	292031	4230
285.455078125	n/a	292307	1111
285.896484375	n/a	292759	4210
286.384765625	n/a	293259	4311
286.451171875	n/a	293327	1112
286.6025390625	n/a	293482	4220
288.0732421875	n/a	294988	4210
288.693359375	n/a	295623	4312
288.9716796875	n/a	295908	1311
289.1171875	n/a	296057	1312
289.6240234375	n/a	296576	4230
290.09375	n/a	297057	4210
291.4326171875	n/a	298428	3200
291.546875	n/a	298545	1121
291.7353515625	n/a	298738	2621
292.0693359375	n/a	299080	4230
292.5126953125	n/a	299534	4311
292.580078125	n/a	299603	1122
293.650390625	n/a	300699	1311
293.7841796875	n/a	300836	1312
294.87109375	n/a	301949	4210
296.0810546875	n/a	303188	4312
297.544921875	n/a	304687	1111
298.22265625	n/a	305381	4220
298.5341796875	n/a	305700	4311
298.6005859375	n/a	305768	1112
299.9853515625	n/a	307186	2622
300.8818359375	n/a	308104	4210
301.5615234375	n/a	308800	4230
303.458984375	n/a	310743	1121
304.359375	n/a	311665	4311
304.4150390625	n/a	311722	1122
306.4365234375	n/a	313792	4210
306.5771484375	n/a	313936	4312
309.15625	n/a	316577	1121
309.72265625	n/a	317157	4311
309.755859375	n/a	317191	1122
311.38671875	n/a	318861	4312
313.599609375	n/a	321127	1311
313.7392578125	n/a	321270	1312
318.19921875	n/a	325837	1311
318.3046875	n/a	325945	1312
320.21875	n/a	327905	1311
320.3125	n/a	328001	1312
320.4814453125	n/a	328174	1111
321.1923828125	n/a	328902	4311
321.23828125	n/a	328949	1112
321.2900390625	n/a	329002	4220
323.435546875	n/a	331199	4210
324.95703125	n/a	332757	4312
326.3994140625	n/a	334234	1311
326.4453125	n/a	334281	1111
326.54296875	n/a	334381	1312
326.6337890625	n/a	334474	4311
326.6337890625	n/a	334474	1112
326.9365234375	n/a	334784	4312
328.44921875	n/a	336333	1311
328.5927734375	n/a	336480	1312
329.95703125	n/a	337877	3200
330.234375	n/a	338161	2621
331.7392578125	n/a	339702	1111
332.4375	n/a	340417	4220
332.7158203125	n/a	340702	4311
332.783203125	n/a	340771	1112
333.15234375	n/a	341149	1311
333.244140625	n/a	341243	1312
335.6640625	n/a	343721	4210
336.546875	n/a	344625	4312
337.7685546875	n/a	345876	1121
337.9248046875	n/a	346036	4311
337.9248046875	n/a	346036	1122
338.056640625	n/a	346171	4312
338.234375	n/a	346353	2622
342.7822265625	n/a	351010	1121
343.6806640625	n/a	351930	4311
343.736328125	n/a	351987	4230
343.736328125	n/a	351987	1122
346.2333984375	n/a	354544	4210
347.15625	n/a	355489	4312
349.2763671875	n/a	357660	1121
349.8984375	n/a	358297	4311
349.931640625	n/a	358331	1122
351.8564453125	n/a	360302	4220
355.361328125	n/a	363891	1111
356.2060546875	n/a	364756	4311
356.26171875	n/a	364813	1112
358.7783203125	n/a	367390	4210
359.291015625	n/a	367915	4312
360.318359375	n/a	368967	1311
360.4453125	n/a	369097	1312
