onset	duration	sample	event_type	face_type	rep_status	rep_lag	trial	value	stim_file
43.3594545455	n/a	47695.4	show_face	unfamiliar_face	immediate_repeat	1	7	14	u054.bmp
44.0649090909	n/a	48471.4	right_press	n/a	n/a	n/a	7	4096	n/a
44.254	n/a	48679.4	show_circle	n/a	n/a	n/a	7	0	circle.bmp
45.954	n/a	50549.4	show_cross	n/a	n/a	n/a	8	1	cross.bmp
46.5003636364	n/a	51150.4	show_face	unfamiliar_face	first_show	n/a	8	13	u017.bmp
47.244	n/a	51968.4	right_press	n/a	n/a	n/a	8	4096	n/a
47.4649090909	n/a	52211.4	show_circle	n/a	n/a	n/a	8	0	circle.bmp
49.1649090909	n/a	54081.4	show_cross	n/a	n/a	n/a	9	1	cross.bmp
49.7749090909	n/a	54752.4	show_face	unfamiliar_face	first_show	n/a	9	13	u138.bmp
50.4558181818	n/a	55501.4	left_press	n/a	n/a	n/a	9	256	n/a
50.7776363636	n/a	55855.4	show_circle	n/a	n/a	n/a	9	0	circle.bmp
52.4776363636	n/a	57725.4	show_cross	n/a	n/a	n/a	10	1	cross.bmp
52.9649090909	n/a	58261.4	show_face	unfamiliar_face	immediate_repeat	1	10	14	u138.bmp
53.854	n/a	59239.4	show_circle	n/a	n/a	n/a	10	0	circle.bmp
53.8994545455	n/a	59289.4	left_press	n/a	n/a	n/a	10	256	n/a
55.554	n/a	61109.4	show_cross	n/a	n/a	n/a	11	1	cross.bmp
56.0221818182	n/a	61624.4	show_face	famous_face	delayed_repeat	8	11	7	f150.bmp
56.9658181818	n/a	62662.4	left_press	n/a	n/a	n/a	11	256	n/a
57.034	n/a	62737.4	show_circle	n/a	n/a	n/a	11	0	circle.bmp
58.734	n/a	64607.4	show_cross	n/a	n/a	n/a	12	1	cross.bmp
59.3967272727	n/a	65336.4	show_face	unfamiliar_face	first_show	n/a	12	13	u074.bmp
60.1167272727	n/a	66128.4	right_press	n/a	n/a	n/a	12	4096	n/a
60.2785454545	n/a	66306.4	show_circle	n/a	n/a	n/a	12	0	circle.bmp
61.9785454545	n/a	68176.4	show_cross	n/a	n/a	n/a	13	1	cross.bmp
62.554	n/a	68809.4	show_face	famous_face	delayed_repeat	9	13	7	f046.bmp
63.4376363636	n/a	69781.4	show_circle	n/a	n/a	n/a	13	0	circle.bmp
63.6776363636	n/a	70045.4	left_press	n/a	n/a	n/a	13	256	n/a
65.1376363636	n/a	71651.4	show_cross	n/a	n/a	n/a	14	1	cross.bmp
65.6112727273	n/a	72172.4	show_face	unfamiliar_face	first_show	n/a	14	13	u096.bmp
66.384	n/a	73022.4	left_press	n/a	n/a	n/a	14	256	n/a
66.5758181818	n/a	73233.4	show_circle	n/a	n/a	n/a	14	0	circle.bmp
68.2758181818	n/a	75103.4	show_cross	n/a	n/a	n/a	15	1	cross.bmp
68.7849090909	n/a	75663.4	show_face	unfamiliar_face	delayed_repeat	10	15	15	u112.bmp
69.524	n/a	76476.4	left_press	n/a	n/a	n/a	15	256	n/a
69.6585454545	n/a	76624.4	show_circle	n/a	n/a	n/a	15	0	circle.bmp
71.3585454545	n/a	78494.4	show_cross	n/a	n/a	n/a	16	1	cross.bmp
72.0094545455	n/a	79210.4	show_face	famous_face	first_show	n/a	16	5	f096.bmp
72.894	n/a	80183.4	right_press	n/a	n/a	n/a	16	4096	n/a
72.974	n/a	80271.4	show_circle	n/a	n/a	n/a	16	0	circle.bmp
74.674	n/a	82141.4	show_cross	n/a	n/a	n/a	17	1	cross.bmp
75.2503636364	n/a	82775.4	show_face	famous_face	immediate_repeat	1	17	6	f096.bmp
75.9830909091	n/a	83581.4	right_press	n/a	n/a	n/a	17	4096	n/a
76.1303636364	n/a	83743.4	show_circle	n/a	n/a	n/a	17	0	circle.bmp
77.8303636364	n/a	85613.4	show_cross	n/a	n/a	n/a	18	1	cross.bmp
78.4403636364	n/a	86284.4	show_face	unfamiliar_face	first_show	n/a	18	13	u065.bmp
79.3394545455	n/a	87273.4	show_circle	n/a	n/a	n/a	18	0	circle.bmp
