onset	duration	sample	value	gid
983.771484375	n/a	1007383	2120	0
985.7314453125	n/a	1009390	1322	4001
985.7314453125	n/a	1009390	1311	1053
990.3076171875	n/a	1014076	2110	0
990.91015625	n/a	1014693	1312	1053
990.91015625	n/a	1014693	1311	1118
995.0615234375	n/a	1018944	2110	0
995.66015625	n/a	1019557	1312	1118
995.66015625	n/a	1019557	1311	1164
999.3232421875	n/a	1023308	2110	0
999.9140625	n/a	1023913	1312	1164
999.9140625	n/a	1023913	1361	4046
1003.05859375	n/a	1027133	2110	0
1003.638671875	n/a	1027727	1362	4046
1003.638671875	n/a	1027727	1311	1213
1009.6767578125	n/a	1033910	2110	0
1010.26171875	n/a	1034509	1312	1213
1010.26171875	n/a	1034509	1351	4053
1013.4501953125	n/a	1037774	2110	0
1014.0478515625	n/a	1038386	1352	4053
1014.0478515625	n/a	1038386	1311	1140
1017.5859375	n/a	1042009	2110	0
1018.1640625	n/a	1042601	1312	1140
1018.1640625	n/a	1042601	1311	1191
1021.7138671875	n/a	1046236	2110	0
1022.2880859375	n/a	1046824	1312	1191
1022.2880859375	n/a	1046824	1321	4011
1025.9541015625	n/a	1050578	2120	0
1028.0810546875	n/a	1052756	1322	4011
1028.0810546875	n/a	1052756	1311	1254
1032.609375	n/a	1057393	2110	0
1033.18359375	n/a	1057981	1312	1254
1033.18359375	n/a	1057981	1311	1001
1037.244140625	n/a	1062139	2110	0
1037.82421875	n/a	1062733	1312	1001
1037.82421875	n/a	1062733	1311	1202
1042.859375	n/a	1067889	2110	0
1043.4443359375	n/a	1068488	1312	1202
1043.4443359375	n/a	1068488	1311	1215
1049.216796875	n/a	1074399	2120	0
1052.13671875	n/a	1077389	1312	1215
1052.13671875	n/a	1077389	1311	1111
1056.6328125	n/a	1081993	2110	0
1057.2236328125	n/a	1082598	1312	1111
1057.2236328125	n/a	1082598	1311	1098
1063.0966796875	n/a	1088612	2110	0
1063.6708984375	n/a	1089200	1312	1098
1063.6708984375	n/a	1089200	1311	1119
1068.240234375	n/a	1093879	2110	0
1068.84765625	n/a	1094501	1312	1119
1068.84765625	n/a	1094501	1311	1245
1072.2802734375	n/a	1098016	2110	0
1072.8759765625	n/a	1098626	1312	1245
